sort_buffer_size,key_buffer_size,read_buffer_size,CPU,MEM
438861,292585,32,349.9705882,275231
438861,292585,32,330.5235294,314203
438861,292585,32,340.5529412,322650
438861,292585,32,360.05,307997
438861,292585,32,356.55625,269528
292585,32,219446,364.00625,446053
292585,32,219446,362.7125,413388
292585,32,219446,364.5333333,510756
292585,32,219446,357.0352941,477244
292585,32,219446,364.375,476936
32,219446,73170,362.9352941,254004
32,219446,73170,361.5647059,245819
32,219446,73170,367.0625,253421
32,219446,73170,323.4470588,324722
32,219446,73170,343.5333333,242304
219446,73170,73170,339.675,475640
219446,73170,73170,332.4470588,455345
219446,73170,73170,335.2823529,511034
219446,73170,73170,337.5055556,519296
219446,73170,73170,343.4882353,556516
73170,73170,438861,338.8470588,481799
73170,73170,438861,328.7176471,452131
73170,73170,438861,325.2555556,498059
73170,73170,438861,334.2941176,491288
73170,73170,438861,305.6888889,458124
73170,438861,32,335.3529412,343936
73170,438861,32,333.53125,295732
73170,438861,32,338.0529412,262676
73170,438861,32,338.05,294295
73170,438861,32,333.1529412,333710
438861,32,32,339.6823529,243546
438861,32,32,330.1294118,245809
438861,32,32,328.9277778,274154
438861,32,32,339.7588235,216539
438861,32,32,331.5588235,262145
32,32,73170,331.5117647,247613
32,32,73170,337.8352941,261542
32,32,73170,321.3058824,229297
32,32,73170,334.2611111,225323
32,32,73170,330.0117647,238074
32,73170,73170,343.6294118,258167
32,73170,73170,334.1176471,247065
32,73170,73170,335.3588235,267136
32,73170,73170,346.2058824,214385
32,73170,73170,336.60625,264218
73170,73170,146308,339.8222222,455536
73170,73170,146308,337.2117647,471841
73170,73170,146308,333.1105263,495390
73170,73170,146308,337.9941176,455874
73170,73170,146308,334.2411765,511096
73170,146308,365723,327.9470588,529032
73170,146308,365723,332.6058824,442623
73170,146308,365723,320.7222222,413520
73170,146308,365723,345.8588235,466817
73170,146308,365723,331.4117647,542527
146308,365723,292585,325.8,474393
146308,365723,292585,332.6411765,526842
146308,365723,292585,335.9894737,525232
146308,365723,292585,331.5055556,484282
146308,365723,292585,342.73125,591525
365723,292585,365723,336.2764706,618922
365723,292585,365723,321.9736842,496415
365723,292585,365723,329.9823529,522794
365723,292585,365723,337.7388889,529149
365723,292585,365723,341.9588235,555348
292585,365723,219446,337.8166667,557264
292585,365723,219446,338.31875,538434
292585,365723,219446,336.1,586241
292585,365723,219446,335.4588235,566243
292585,365723,219446,316.5222222,472409
365723,219446,219446,338.3882353,514978
365723,219446,219446,340.4411765,517260
365723,219446,219446,344.4823529,554741
365723,219446,219446,329.4882353,498862
365723,219446,219446,329.8705882,453292
219446,219446,73170,312.7222222,586995
219446,219446,73170,330.1588235,504070
219446,219446,73170,330.4421053,440288
219446,219446,73170,339.5944444,576584
219446,219446,73170,345.5055556,504025
219446,73170,32,337.7588235,214576
219446,73170,32,321.2470588,240821
219446,73170,32,339.4235294,229536
219446,73170,32,336.6058824,242992
219446,73170,32,332.9588235,292187
73170,32,365723,328.2666667,401125
73170,32,365723,339.1526316,411165
73170,32,365723,334.7294118,443026
73170,32,365723,329.3388889,575756
73170,32,365723,333.4944444,472733
32,365723,292585,335.35625,287969
32,365723,292585,341.0833333,271563
32,365723,292585,336.9235294,302390
32,365723,292585,338.5166667,283144
32,365723,292585,330.1823529,331516
365723,292585,292585,332.9705882,522095
365723,292585,292585,340.1235294,546927
365723,292585,292585,334.5631579,453616
365723,292585,292585,329.9157895,474314
365723,292585,292585,333.1611111,426803
292585,292585,292585,340.9222222,507399
292585,292585,292585,316.2611111,499009
292585,292585,292585,339.9611111,512059
292585,292585,292585,337.3647059,583973
292585,292585,292585,322.0111111,473932
292585,292585,365723,337.2882353,525494
292585,292585,365723,334.9611111,423764
292585,292585,365723,335.0823529,589236
292585,292585,365723,335,465039
292585,292585,365723,340.0611111,379964
